PFAM	KO	PATHWAY	PATHWAY NAME
PF11648		14383	PF11648
PF08454		14384	PF08454
PF02197		14385	PF02197
PF10522		14386	PF10522
PF11461		14387	PF11461
PF08443		14388	PF08443
PF18030		14389	PF18030
PF01782		14390	PF01782
PF06116		14391	PF06116
PF12906		14392	PF12906
PF00848		14393	PF00848
PF00866		14394	PF00866
PF04437		14395	PF04437
PF01163		14396	PF01163
PF09202		14397	PF09202
PF00161		14398	PF00161
PF14998		14399	PF14998
PF16524		14400	PF16524
PF17184		14401	PF17184
PF17066		14402	PF17066
PF08167		14403	PF08167
PF17797		14404	PF17797
PF17777		14405	PF17777
PF11088		14406	PF11088
PF14401		14407	PF14401
PF10127		14408	PF10127
PF04068		14409	PF04068
PF10036		14410	PF10036
PF18125		14411	PF18125
PF13707		14412	PF13707
PF04957		14413	PF04957
PF16099		14414	PF16099
PF08585		14415	PF08585
PF16100		14416	PF16100
PF04321		14417	PF04321
PF07521		14418	PF07521
PF14996		14419	PF14996
PF02646		14420	PF02646
PF10443		14421	PF10443
PF00074		14422	PF00074
PF09293		14423	PF09293
PF04308		14424	PF04308
PF13032		14425	PF13032
PF18497		14426	PF18497
PF18431		14427	PF18431
PF10150		14428	PF10150
PF00075		14429	PF00075
PF09468		14430	PF09468
PF08615		14431	PF08615
PF01351		14432	PF01351
PF13482		14433	PF13482
PF18614		14434	PF18614
PF17770		14435	PF17770
PF01138		14436	PF01138
PF03725		14437	PF03725
PF01876		14438	PF01876
PF08228		14439	PF08228
PF01900		14440	PF01900
PF00929		14441	PF00929
PF11977		14442	PF11977
PF14626		14443	PF14626
PF08675		14444	PF08675
PF01877		14445	PF01877
PF03035		14446	PF03035
PF10258		14447	PF10258
PF00910		14448	PF00910
PF09414		14449	PF09414
PF09511		14450	PF09511
PF04252		14451	PF04252
PF00940		14452	PF00940
PF08203		14453	PF08203
PF08208		14454	PF08208
PF11705		14455	PF11705
PF01000		14456	PF01000
PF03118		14457	PF03118
PF16857		14458	PF16857
PF06870		14459	PF06870
PF04090		14460	PF04090
PF01193		14461	PF01193
PF13656		14462	PF13656
PF02150		14463	PF02150
PF01194		14464	PF01194
PF08292		14465	PF08292
PF06883		14466	PF06883
PF04997		14467	PF04997
PF00623		14468	PF00623
PF04983		14469	PF04983
PF05000		14470	PF05000
PF04998		14471	PF04998
PF04992		14472	PF04992
PF04990		14473	PF04990
PF05001		14474	PF05001
PF04563		14475	PF04563
PF04561		14476	PF04561
PF04565		14477	PF04565
PF04566		14478	PF04566
PF10385		14479	PF10385
PF04567		14480	PF04567
PF00562		14481	PF00562
PF04560		14482	PF04560
PF03874		14483	PF03874
PF01191		14484	PF01191
PF03871		14485	PF03871
PF01192		14486	PF01192
PF03870		14487	PF03870
PF16992		14488	PF16992
PF05158		14489	PF05158
PF05132		14490	PF05132
PF05645		14491	PF05645
PF12136		14492	PF12136
PF03431		14493	PF03431
PF00773		14494	PF00773
PF02508		14495	PF02508
PF15303		14496	PF15303
PF15926		14497	PF15926
PF13375		14498	PF13375
PF12647		14499	PF12647
PF14760		14500	PF14760
PF15935		14501	PF15935
PF15933		14502	PF15933
PF17975		14503	PF17975
PF08591		14504	PF08591
PF08343		14505	PF08343
PF03259		14506	PF03259
PF08477		14507	PF08477
PF10135		14508	PF10135
PF10493		14509	PF10493
PF15201		14510	PF15201
PF07073		14511	PF07073
PF10259		14512	PF10259
PF00480		14513	PF00480
PF08067		14514	PF08067
PF02027		14515	PF02027
PF18106		14516	PF18106
PF10247		14517	PF10247
PF12334		14518	PF12334
PF15035		14519	PF15035
PF06830		14520	PF06830
PF01815		14521	PF01815
PF05082		14522	PF05082
PF18386		14523	PF18386
PF10727		14524	PF10727
PF05443		14525	PF05443
PF10681		14526	PF10681
PF00639		14527	PF00639
PF13145		14528	PF13145
PF13616		14529	PF13616
PF12289		14530	PF12289
PF06929		14531	PF06929
PF05868		14532	PF05868
PF00980		14533	PF00980
PF01525		14534	PF01525
PF02509		14535	PF02509
PF00981		14536	PF00981
PF04866		14537	PF04866
PF01665		14538	PF01665
PF01452		14539	PF01452
PF05087		14540	PF05087
PF17477		14541	PF17477
PF06020		14542	PF06020
PF08633		14543	PF08633
PF03428		14544	PF03428
PF11800		14545	PF11800
PF12042		14546	PF12042
PF17542		14547	PF17542
PF17460		14548	PF17460
PF10134		14549	PF10134
PF17875		14550	PF17875
PF08620		14551	PF08620
PF08621		14552	PF08621
PF04181		14553	PF04181
PF13877		14554	PF13877
PF08784		14555	PF08784
PF14768		14556	PF14768
PF14767		14557	PF14767
PF14766		14558	PF14766
PF03055		14559	PF03055
PF02755		14560	PF02755
PF18111		14561	PF18111
PF08579		14562	PF08579
PF16550		14563	PF16550
PF18051		14564	PF18051
PF17781		14565	PF17781
PF18004		14566	PF18004
PF08375		14567	PF08375
PF18098		14568	PF18098
PF18503		14569	PF18503
PF18055		14570	PF18055
PF10602		14571	PF10602
PF18261		14572	PF18261
PF12415		14573	PF12415
PF12410		14574	PF12410
PF14700		14575	PF14700
PF12328		14576	PF12328
PF04032		14577	PF04032
PF17067		14578	PF17067
PF13446		14579	PF13446
PF05659		14580	PF05659
PF09382		14581	PF09382
PF03737		14582	PF03737
PF06877		14583	PF06877
PF01765		14584	PF01765
PF02082		14585	PF02082
PF12614		14586	PF12614
PF17068		14587	PF17068
PF10378		14588	PF10378
PF00076		14589	PF00076
PF04059		14590	PF04059
PF08777		14591	PF08777
PF10598		14592	PF10598
PF13893		14593	PF13893
PF16367		14594	PF16367
PF11835		14595	PF11835
PF18444		14596	PF18444
PF15628		14597	PF15628
PF16842		14598	PF16842
PF17799		14599	PF17799
PF05327		14600	PF05327
PF10214		14601	PF10214
PF10680		14602	PF10680
PF00398		14603	PF00398
PF06962		14604	PF06962
PF13234		14605	PF13234
PF08524		14606	PF08524
PF15459		14607	PF15459
PF07890		14608	PF07890
PF06102		14609	PF06102
PF18311		14610	PF18311
PF17216		14611	PF17216
PF17215		14612	PF17215
PF12923		14613	PF12923
PF04939		14614	PF04939
PF17075		14615	PF17075
PF14239		14616	PF14239
PF06459		14617	PF06459
PF08071		14618	PF08071
PF14615		14619	PF14615
PF14361		14620	PF14361
PF08678		14621	PF08678
PF08673		14622	PF08673
